COUNTRY|Updated on|Response
Netherlands|2020-04-01|"1. A guarantee facility for SME loans (BMKB) is already in place and working – EUR 665 million of an available budget of EUR 765 million, 0.08% of GDP. The Ministry of Economic Affairs and Climate Policy has expanded guarantees to a higher guarantee percentage, up to 90% of the credit risk of banks for SMEs that want to take out a loan of EUR 1.5 mln maximum but that do not have the required collateral. This measure was recently expanded for SMEs coping with risks associated with the nitrogen ruling (adopted) and is further expanded to apply to SMEs affected by COVID-19.
2. Businesses can request for a special deferral of payment in income tax, corporate tax, turnover tax, energy tax and wage tax. Temporarily, no penalties for failure to pay taxes (on time) will be imposed. Businesses that already forecast lower profits due to the epidemic can request a reduction of the provisional tax assessment and will be able to pay less initial tax in order to avoid liquidity problems. To avoid immediate liquidity problems, the requirement for a “third expert” will not have to be included in the request immediately (but after two weeks). Moreover, the tax authorities will temporarily decrease the recovery interest rate from 4% to 0.01%. 
5. The so-called GO-regulation, through which SMEs can secure a 50% guarantee from the government on their bank loans and bank guarantees, will be expanded. The maximum ceiling guaranteed will be increased from EUR 400 million tot EUR 1.5 billion and the maximum GO-facility per firm will be increased from EUR 50 million to EUR 150 million. This will enable both small and large  firms to benefit from this policy.
6. In order to support small firms and start-ups with little financial reserves, we will expand the Qredits-programme. Through this program, we expect to support approximately 3000 to 6000 firms by a deferment of payment for a period of a maximum of six months and by giving those firms a discount on their rent payments for the same period. 
7. Agricultural and horticultural SMEs will be supported by temporarily relaxing the guarantee for working capital, which is part of the existing decree Borgstelling MKB-Landbouwkredieten (BL). The decree will ease acute liquidity problems for agricultural and horticultural business who experience those problems due to the COVID-situation. The credit is for a maximum of 2 years.
8. Repayments of Innovation Credit and Early Stage Financing, both subsidies in the form of a credit, can be delayed for six monthts. 
9. Likely, the Dutch Health ministry will do additional investments, together with the science and the economic departments, for Corona-related medicines. 
"
New Zealand|2020-03-30|"The New Zealand Health Research Council and the Ministry of Health have issued two calls for research relating to COVID.  These can be found here https://www.hrc.govt.nz/news-and-events/covid-19-research-funding-opportunities-available-now 

OECD Secretariat additions (30 March 2020):
On 2 March 2020, the Health Research Council of New Zealand and the Ministry of Health announced a NZ$3 million (USD 1.8 million) rapid research response fund for projects contributing to global COVID-19 efforts (https://www.hrc.govt.nz/news-and-events/covid-19-research-funding-opportunities-available-now ). NZ$1 million (USD 0.6 million) will be allocated to projects that can provide responses to the current disease threat in the short term (within 3-6 months), and NZ$2 million (USD 1.2 million) to fund research that strengthens New Zealand’s research capacity and response to emerging infectious disease threats. Proposals are invited from all fields of health and social science. 
"
Norway|2020-04-30|"1. Measures that have been implemented
The Norwegian Research Council (RCN) has launched a COVID-19 Emergency Call for funding in order to contribute to the global response to the COVID-19 outbreak. The aim is to support research that will enable us to understand and contain the new COVID-19, as well as to improve efficient patient management and public health (national and international) preparedness and response to the current and analogous outbreaks that may come in the future. The call for proposals is based on the recent research priorities defined by the WHO. International collaboration with research groups in other countries, including those funded by GLOPID-R member organisations to foster larger-scale studies, is encouraged. The scope of the proposals may include different topics, including health and economic aspects. The total budget is EUR 2 560 000.
file:///C:/Users/KD1258/Downloads/COVID-19%20Emergency%20Call%20for%20Proposals%20Project%20Outlines%20for%20Call%20Concerning%20the%20Fight%20Against%20Coronavirus%20Disease%20(COVID-19).pdf

In cooperation with the Norwegian Ministry of Foreign Affairs, The RCN is also launching several extraordinary measures in order to strenghten COVID-19 research in and in cooperation with lower income countries. A call for proposals on global health with a 20 May deadline has been allocated an additional 20 million NOK for projects of particular relevance to Covid-19.

The Research Council also has a large portfolio of ongoing projects on issues in the fields of health, biotechnology and societal issues that may be relevant for COVID-19 as well. In addition, several research institutions and public health authorities (such as the Norwegian Institute of Public Health) conduct research that is relevant for this issue. However, we do not have a complete overview or a list of projects. 

2. Measures under consideration, not yet decided 

The suggested measures encompass the Research Council's project portfolio as well as the different research-performing sectors, particularly related to trade and industry and the institute sector (the independent research institutes). The measures will be discussed with the relevant ministries.

The measures suggested by the Research Council have been divided into six categories: 
1. General measure aimed toward the institute sector (increased basic funding) 
2. General measures aimed toward trade and industry 
3. Measures aimed toward the direct restructuring of businesses 
4. Digitalisation measures and competence-building for digitalisation (""kompetanseløft for digitalisering"")
5. Measures aimed toward real-time research and research for crisis management
6. Other measures (the Norwegian public sector, the consequences for low-income countries) 
In addition to these suggested measures, the Research Council wishes to implement measures related to:
-  funding percentage;
-  the research organisations' own contributions for projects that receive funding; 
- changes to the contract period and other changes to the contract that can in part be carried out within the current funding and partly through increased public funding in order to reduce risk, as well as facilitate the situation for the most vulnerable actors in trade and industry and the institute sector.
 
Furthermore, there is a need for measures aimed toward improving the situation for young researchers (PhD candidates and Postdoctoral fellows) who must stay at home to care for children, thereby being barred from using laboratories and other research infrastructure.

Most of the measures are time-limited, and the budget for the majority of the measures must be distributed across several years as this concerns multiannual centres or research projects.
"
Peru|2020-05-22|"In March 29th,  The National Council of Science, Technology and Technological Innovation, through its National Fund for Science,Technology and Technological Innovation, launched a public call for research initiatives named “Special projects: Responding to COVID-19”. The call intends to create new scientific knowledge, development, innovation and adaptation of technologies, products, mechanisms or new or improved services which could provide fast solutions to the challenges created by the pandemic. 

For this call, we prioritized 5 themes:
Development, adaption and/or validation of detection systems (diagnosis).
Telehealth, mobile health and digital epidemiological vigilance systems. 
Technological and innovation systems
Treatment  (medicines, vaccines)
Epidemiological and social studies.

Given the need of prompt responses to the crisis, we will prioritize projects in an advanced stage of development, high impact innovation concepts and short term response potential in the following areas:

Projects of applied research
Projects of technological development
Projects of technological adaptation.

We have received 600 concept notes, 55% of which were submitted by universities, 29% came from companies, 6% from research or innovation institutions and the remaining proposals were submitted by public and private institutions which host research units.

In regards to themes covered by the proposals, 14% corresponds to the development and/or validation of rapid tests used for COVID-19 diagnosis. Another 14% of the proposals were related to the treatment of the virus. 29% of the concept notes corresponds to technological and innovation developments, where medical artifacts such artificial ventilation machines required by intensive care units are required. 27% of the proposals present new developments in telehealth and mobile health, and also digital information systems or health management, while the remaining 16% proposals are related to epidemiological and social studies.

During the call for applications we received 600 concept notes, of which 29 were finally selected.We would like to highlight some of the initiatives which have qualified to received the funds, according to their respective priority areas.

Telehealth and Mobile Health 

Characterizing COVID-19: Data analysis tool for COVID-19 patients. 
Health information Digital System in Peru as a tool for decision making in the context of COVID-19 Pandemic. 
Technological development of a remote monitoring and diagnostics system geared towards patients in the rehabilitation stage after recovering from COVID-19 through the use of low-cost device relying on digital spirometry based on exhaled air.
Mobile app for population screening monitoring and screening in Loreto, one of the most heavily affected regions in the country. 
Brigadist collaboration network for researching, detecting, and primary management of severely affected COVID-19 communitary cases.

Treatment

Biological-computational platform for the analysis of new chemical entities, medicines and natural products with potential antiviral effect against SARS-CoV-2.
Production of an anti SARS-CoV-2 vaccine, based on the spike protein expressed in insect cells, and the the evaluation of their security and immunogenicity in animals and voluntary human beings.

Detection Systems

Rapid molecular diagnose tests for COVID-19.

Technological devices and innovation

Low-cost portable electronic device for evaluating the risk of developing pneumonia based on the abnormal lung sounds in suspected COVID-19 patients from vulnerable areas.
Low-cost Mechanical ventilators with minimum characteristics for COVID-19’s emergency.
High respiratory protection equipment universal platform, relying on 3D printing.
Vital sign monitoring device for COVID-19 cases and patients with other diseases.
Anti COVID-19 surgical respirator of the use of health personnel
Rectilinear point fabric reusable face masks able to protect the user against COVID-19. Adequate for health personnel and people exposed to infection on the grounds of their working conditions.
Epidemiological and social studies

Dynamic control of the COVID-19 Virus
Decentralized genomic surveillance system for assessing the transmission and evolution of SARS-CoV-2 in Peru.
COVID-19 systemic study in the health sector and its impact on the peruvian economy and the development of dynamic government policies at the regional level through the use of soft system dynamics and data science.


For supporting the development of the selected initiatives, an initial amount of 5 million soles will be granted. However,we intend to launch additional funds and launch more calls in the near future. In the following link you will find the details of the call https://www.fondecyt.gob.pe/convocatorias/innovacion-y-transferencia-tecnologica/proyectos-especiales-respuesta-al-covid-19 
"
Poland|2020-05-15|"                                                  1) The National Centre for Research and Development allocated 200 000 000 PLN to fight against coronavirus.
The Polish entrepreneurs and scientists who work on diagnostics, treatment and prevention of viral diseases obtained 200 000 000 PLN. The National Centre for Research and Development announced the Fast Track ""Coronavirus"" contest. A proven formula to finance innovation from the European Funds was used in order to fight against coronavirus pandemic.
The National Centre for Research and Development envisaged three basic thematic areas which should include projects submitted for co-financing. There are the following:
- diagnostics - devices for quickly detecting the coronavirus presence in the body;
- treatment - researches on the use of existing or new drugs as well as works on vaccines;
- prevention - preventive measures limiting the spread of the SARS-CoV-2 coronavirus and the activities to the Polish antivirus shield: improving biosecurity, protecting society  and supporting its functioning in epidemiological crisis situations.
Both SMEs and large companies as well as consortia consisting of entrepreneurs or entrepreneurs and scientific units can apply for support. The main condition of receiving the grant is the innovation of the proposed solution at least at the national level as well as the need to its implement on the market. The projects submitted for funding in the contest may include industrial researches, experimental development and pre-implementation works. Only experimental development works are treated as mandatory element. The minimum project value for single SME is 1 000 000 PLN and for large companies and consortia - 2 000 000 PLN. The maximum value of eligible costs of projects co-financed by the National Centre for Research and Development may not exceed 50 000 000 EUR.
                                           
                                           2) Express call to fund research on COVID-19 by the National Science Centre with a total budget of 10 mln PLN
https://www.ncn.gov.pl/ogloszenia/konkursy/covid-19?language=en

                                          3) Changes to the terms of the CEUS-UNISONO call for proposals related to the launch of the FWF Urgent Funding for Research Into 
                                              Humanitarian Crises like Epidemics and Pandemics with participation of the National Science Centre
https://ncn.gov.pl/aktualnosci/2020-04-08-zmiana-warunkow-konkursu-ceus-unisono?language=en

                                           4) Support for hospitals focusing on COVID-19 related patients by the National Centre for Research and Development with a total budget of 100 
                                               mln PLN 
The National Centre for Research and Development launched a new support for hospitals focusing on COVID-19 related patients on R&D activities. These hospitals can apply for funding projects preventing the spread of SARS-CoV-2 virus, protecting personnel and treating COVID-19.


5) Additional support for research (including on COVID-19) at the Małopolska Centre of Biotechnology - Jagiellonian University – one-off funding from the Ministry of Science and Higher Education of 25 000 000 PLN. Money for the Małopolska Centre of Biotechnology - Jagiellonian University should help in developing coronavirus vaccine.  


6) Production of the Polish coronavirus tests
The prototype of the Polish coronavirus test was developed by the researchers from the Institute of Bioorganic Chemistry of the Polish Academy of Sciences in Poznan. It will be possible to produce 100,000 pieces - based on the reagents of own production and the Polish companies. The National Centre for Research and Development allocated 100 000 000 PLN for this project.

7) IDUB against COVID-19 contest organized by the Warsaw University of Technology 
Financing activities on solutions dedicated to the COVID-19 pandemic and its effects is the main goal of this contest. Projects may concern both the area of basic researches and R&D works. The maximum project implementation period is 18 months and the project financing amount should not exceed 400 000 PLN. 


"
Portugal|2020-05-18|"Several initiatives have been taken in the current short timeframe of the emergence of COVID-19 crisis:
- An urgent research call for special projects has been launched to support innovative projects in response to the COVID-19 pandemia - Research 4 Covid-19 – by the Foundation for Science and Technology (FCT) – application between 24 March and 5 April. A second call is envisioned in one month's time, depending on progress of the pandemia. Both calls have a total funding of €1,5 million and are directed to short-term projects (3 month limit duration and funding per project limited to 30k€, focusing on complementing existing initiatives or reallocating existing human resources).
https://www.fct.pt/apoios/research4covid19/index.phtml.pt
- An additional research call has been launched, on March 27 with a deadline of May 28, in the context of the National Initiative for Digital Competences (INCoDe.2030) – AI 4 COVID-19 – Data Science and Artificial Intelligence in Public Administration to strengthen the fight to COVID-19 and future pandemias. These projects require the partnership of research institutes with public administration entities, and must be in line with the National Plan for the Preparation and Response to the Disease by the novel coronavirus (COVID-19) from the Directorate-General for Health (DGS). The projects are expected to focus on big data, analytic techniques and models, computational resources and products and results. The total funding available is € 3 million, with a maximum funding per project of € 240k and project duration between 24 and 36 months.
https://www.fct.pt/apoios/projectos/concursos/datascience/index.phtml.pt
- A Call for entrepreneurial ideas has been launched by the National Innovation Agency, ANI, which has already gathered a wide range of technological solutions which have been presented by research centres and innovative firms, on the areas of prevention/diagnostic, treatments, medical and hospital services, home support, business services, teaching/training, work organization and other objectives.
https://www.ani.pt/pt/portugal-inovador/portugal-inovador/solu%C3%A7%C3%B5es-covid-19/
- A platform to mobilize researchers - SCIENCE 4 COVID19 – to contribute to responses to the crisis is also being set up.
- As a result of the declaration of National State of Emergency, which imposed limitations on mobility and the requirement, when possible for the implementation of teleworking, and the closure of most public services and businesses except essential ones, MCTES determined the essential services in research and academic institutions to be maintained exempt of the limitations, namely those related to research and analysis on COVID-19, infrastructures requiring permanent maintenance, such as medical, veterinary and biological, those related to technological safety, ICT related infrastructural academic resources, social services for higher education students, and basic administrative services to guarantee regular flow of financial support.
- Existing resources to support distance learning and teleworking dedicated to the research and higher education system have been increased to respond to the sudden increase in demand, through FCT/FCCN. These include video platform COLIBRI, MOOC platform NAU, EDUCAST and VIDEOCAST.
- Legal procedures were put forward to guarantee that all academic evaluation requiring public exams (e.g. PhDs and Habilitation) can be held through the use of videoconferencing and electronic media.
- Research fellowships for degree award from FCT have been given a prorogation to account for the disturbances in the work progress due to the current crisis situation. Prorogation of deadlines in ongoing calls have also been implemented in order to support the significant changes brought about by the crisis, as well as the commitment by the health sciences researchers to the ongoing response. Elegibility of expenditure related to cancelled events due to the coronavirus emergency incurred in publicly funded projects has been changed and guaranteed.
"
Russian Federation|2020-04-01|"Since 13 March, 2020 the following policy measures related to STI are being implemented:

1. Allocation of additional budgetary funding (1.5 billion roubles) for the development of means of prevention and diagnosis of the new coronavirus infection (COVID-2019).
2. Allocation of additional budgetary funding for the domestic production of artificial respirating units (Source: https://xn--80aesfpebagmfblc0a.xn--p1ai/ai/html/3/attach/2020-03-26_coronavirus_government_report.pdf).
3. Since March 16, all Russian universities were recommended to introduce mixed and distance learning formats. To support universities during the transition period in connection with the unfavorable situation caused by the new coronavirus infection (COVID-2019), a Situation Center of the Russian Ministry of Education and Science and a hotline have been created. The recommendations for the universities on the transfer of educational courses to the online format were developed by the Ministry of Science and Higher Education.
4. The procedure for registration of medical devices for the diagnosis of coronavirus infection has been accelerated (https://www.rosminzdrav.ru/news/2020/03/26/13595-minzdrav-rossii-protsedura-registratsii-medizdeliy-dlya-diagnostiki-koronavirusnoy-infektsii-maksimalno-uskorena).
5. There is a possibility that national legislation regarding access to the market for new drugs can be revised in order to accelerate the implementation of the new drugs against the COVID-19.
6. On March 24 the Skolkovo Technopark initiated a crowdsourcing project to develop COVID-19 express medical tests available for wider population.
7. Skolkovo Foundation introduced a series of startup projects to the Government for direct support (see section B Q5)."
South Africa|2020-03-29|"• As a first step, the Department of Science and Innovation (DSI) has redirected R4 million (€219,000) from some of its projects to research on COVID-19. The Department is supporting local research that will focus on surveillance, therapeutics and understanding the local epidemiology and natural history of the virus. An additional R3 million has been  available from the International Cooperation and Resources (ICR) Funds within DSI for international cooperation.

• Secondly, the Department has availed R12 million for SA testing of drugs for Covid-19 treatment.

• The Technology Innovation Agency (TIA) is also considering to make funds available to fund some diagnostic and sequencing work.

• The DSI is also engaging with the Department of Health, the Medical Research Council, and the South African Health Products Regulatory Authority with a view to mobilising funding, reprioritising research strategies and creating an enabling ethical and regulatory framework to facilitate research on the COVID-19 virus.

• Strategies for the management of mild, moderate and severe COVID-19 infections will be considered and prioritised for further development, costing and implementation. The regulatory and ethics research agenda will include the review and approval of ethical and regulatory challenges pertaining to clinical research. The Department will also prioritise surveillance strategies with a view to funding the top priorities.

• Preliminary work on the development of vaccines has started with University of Cape Town (UCT), Council for Scientific and Industrial Research (CSIR) and Biovac. Also, the South African Centre for Epidemiological Modelling and Analysis (SACEMA) A is currently engaging with other sources of data and modelling groups, refining their assumptions with a view to produce an updated model of the spread of the epidemic over time. 
"
Spain|2020-04-01|"The Royal Decree-Law 8/2020, of 17 March, on extraordinary urgent measures to deal with the economic and social impact of the new corona virus COVID-19, has included the creation of new budget line of specific R&D funding with 30 million Euros for public research institutions. The Royal Decree Law has also included a dedicated CDTI budget line to provide up to 500 M€ in direct support to mid-caps and SMEs throughout partially reimbursable grants, with no need for any financial guarantee or collateral, seeking to facilitate access to capital for ongoing R&I projects or innovations needed to face the COVID 19 consequences. 

The Spanish research against COVID-19 is competitive and will bring results with the purpose to strengthen it in the research for the COVID-19 different measures has been put in Place:

• The Instituto de Salud Carlos III (ISCIII) which depends on the Ministry of Science and Innovation, has launched the COVID-19 call to finance research projects on the SARS-CoV-2 virus and the disease it causes, COVID-19. This call will have 24 million euros available, as approved by Royal Decree-Law 8/2020, of 17 March, on extraordinary urgent measures to deal with the economic and social impact of the new coronavirus. With this new resources, the ISCIII, as a health research funding body, will develop an urgent program of aid for projects and programs that aim to generate knowledge about the infection: to analyze and know the biology of the virus; to develop new therapeutic and prophylactic options, including vaccines; to develop an epidemiological surveillance system and to analyze its impact from the point of view of the health services.

Research areas
The initiatives presented, which may be based on projects already under development or be new initiatives, should focus on the following areas:

•  Development of techniques for rapid virological diagnosis of COVID-19, transferable to the industrial field and applicable to health care, with a priority focus on the diagnosis of early stages of infection and the management of severe cases to optimize stratification and health care.
• Clinical, biological and molecular characterization of the disease, with analysis of clinical stages, prognostic stratification and possible complications.
•  Development of innovative therapies, new antiviral, antiseptic and disinfectant molecules against SARS-CoV-2; studies of antiviral resistance and the effectiveness of non-pharmacological, prophylactic and therapeutic interventions.
• Characterization of SARS-CoV-2, knowledge of genetic and antigenic variation of the virus and management of the immune response and virus-host interaction.
• Development of vaccines, analysis of their efficacy and applicability
• Epidemiological surveillance and molecular study of COVID-19, with analysis of the incidence of mortality, morbidity and lethality; study of environmental and social factors of the spread, risk factors and population dynamics of the infection.
• Use of artificial intelligence tools and massive analysis of integrated data oriented to the epidemiological control of the COVID-19.
• Socio-economic impact of the disease: use of primary care resources, general hospital resources and critical care resources.

Research projects must respect the fundamental principles established in the current wording of the Declaration of Helsinki, promulgated by the World Medical Association, in the Council of Europe Convention on Human Rights and Biomedicine, in the UNESCO Universal Declaration on the Human Genome and Human Rights, as well as comply with the requirements established in Spanish legislation in the field of biomedical research, personal data protection and bioethics.

In addition, the National Biotechnology Centre (CNB) of the Spanish National Research Council (CSIC) will receive 4.45 million € for coronavirus research. CSIC is going to promote the development of its current research and advance in protection strategies against SARS-CoV2. CNB is a worldwide pioneer in a method for cloning viruses that allows them to be genetically manipulated to attenuate their virulence and achieve a vaccine. The team led by professors Luis Enjuanes and Isabel Sola is already working on a project to study the mechanisms of pathogenesis of the new coronavirus. 

The CNB project has six objectives: to generate basic tools and experimental models for the development of protection strategies; identification and testing of antiviral compounds for the treatment of SARS-CoV2; development of specific monoclonal antibodies for protection against the infection; development of the next generation of vaccine candidates; molecular, structural and functional characterization, and computer modeling to understand the spread of the new coronavirus.

The ISCIII, the CNB and other research centers have been declared critical health infrastructures and therefore remain fully operational for COVID-19 research.

In the domain of “clinical trials” related with the COVID19 the Spanish Agency for Drugs and Health Products (Agencia Española de Medicamentos y Productos Sanitarios (AEMPS) has authorized two new clinical trials with a new molecule (remdesivir) for patients with severe respiratory disease. The Ministry of Health is also involved in clinical trials with WHO with drugs related to HVI. All relevant information is available at https://www.aemps.gob.es/la-aemps/ultima-informacion-de-la-aemps-acerca-del-covid%E2%80%9119/.
 
---Innovation---

MICIN throughout CDTI – Centre for the Development of Industrial Technology- has been launching extraordinary measures to contribute to the fight against COVID19 and to support business R&I activities and capacities to prevent the slowdown of innovation in Spain, protect business R&I employment and maintain the competitiveness of the Spanish economy through innovation. Actions are part of current CDTI programs, and special attention will be paid to those proposals that may contribute to COVID19 health emergency. The measures adopted include:
1. Exemption from guarantees (from March 14, 2020) requested in partially reimbursable grants for R&I projects of SMEs and midcaps ranging from 0,5-1,0  Million EUROS for SMEs, to 3 Million EUROS for midcaps. For R&I projects related to products considered emergency by the Government in relation to COVID-19, the exemption of guarantees will be doubled. This measure will mobilize around 500 million EUROS.
2. Fast track for proposals in order to help business to maintain its R&i initiatives and prioritizing projects related to COVID19 products.
3. Flexible administrative procedures: (1) extension of justification periods by one month for finalizing projects; (2) flexibility in the repayment of partially reimbursable grants; 
4. From March 14, 2020 to June 30, 2020: exemption of payment of interests on principal and/or ordinary for companies benefiting from partially reimbursable grants, when the payment is made within a maximum period of 4 months from it is due. This measure will only be applicable to companies that have a valid loan contract with CDTI.
5. Expansion of the “Direct Expansion Line (LIC-A)” currently limited to Andalusia, Canary Islands, Castilla y León, Castilla-La Mancha, Comunidad Valenciana (excluding the city of Valencia), Extremadura, Galicia and Region of Murcia, to the entire national territory
6. Flexibility of criteria for accessing to “Innvierte Coinversión” (until June 30, 2020) to especially support SMEs and facilitate access to capital through CDTI co-investment mechanism. CDTI will accelerate time to funding -the minimum time from investors’ analysis to approval-. Innvierte's initial minimum investment requirement is reduced to 250,000 EUROS, jointly considering all investors are leveraged. For actions aimed at technological developments related to COVID19, Innvierte investments may be below 250,000 EUROS to accelerate innovative projects uptake.

Relevant information at:
http://www.ciencia.gob.es/portal/site/MICINN/menuitem.edc7f2029a2be27d7010721001432ea0/?vgnextoid=7e59f67b7a8e0710VgnVCM1000001d04140aRCRD&vgnextchannel=4346846085f90210VgnVCM1000001034e20aRCRD 

https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/ciencia-e-innovacion/Paginas/2020/200320-covid-investigacio.aspx  

http://www.ciencia.gob.es/portal/site/MICINN/menuitem.edc7f2029a2be27d7010721001432ea0/?vgnextoid=7e59f67b7a8e0710VgnVCM1000001d04140aRCRD&vgnextchannel=4346846085f90210VgnVCM1000001034e20aRCRD"
Sweden|2020-03-28|"Call for research funding is open. 
Medical universities and the research infrastructure for Life sciences, SciLifeLab, will together with private funds perform tests for Covid-19 in order to increase the national testing capacity. Commercial test-kits will be assessed for accuracy by testing them together with testing in the Health care sector. 
More actions are being planned."
Switzerland|2020-05-20|"The Federal Council has set up a Swiss National COVID-19 Science Task Force, which provided science advice to the governmental and cantonal actors in charge of the crisis management. The Science Task Force consists of a group of around 70 high profile scientists working on ten topics. Based on the available scientific evidence, the Task Force provides recommendations in Policy Briefs, which are publicly available at www.ncsf-tf.ch.

On February 27th 2020, the Swiss National Science Foundation (SNSF) launched a “Special call for research into coronaviruses” (call ended on March, 25th). For further details see: www.snf.ch/en/funding/programmes/coronavirus/Pages/default.aspx. This is the first time that the SNSF is launching a call for proposals in response to current events.

On April 16th 2020, the Federal Council launched the National Research Programme (NRP 78 ) on the subject of coronavirus pandemic, and tasked the Swiss National Science Foundation (SNSF) with implementing it (submission deadline May 25th). For further details see www.snf.ch/en/researchinFocus/newsroom/Pages/news-200430-call-for-proposals-nrp-78-covid-19.aspx; www.snf.ch/en/funding/programmes/nrp78-covid-19/Pages/default.aspx.

Coronavirus: SNSF update” www.snf.ch/en/funding/directaccess/coronavirus-snsf-update/Pages/default.aspx."
Thailand|2020-03-31|As a main funding agency in Thailand, NRCT supports specific funding scheme for R&D involving COVID-19 in short-medium-and long terms. Initially, the emergency issues for the short-term R&D has been supported. NRCT allocates about 250 million Baht of new funds of about 8 million US Dollars to support R&D on issues such as genome sequencing, laboratory diagnostics, mathematics model, vaccine development and development of supplies.
Turkey|2020-04-10|"Co-creation Mechanisms to Cope With COVID-19:
- Policy measures in the field of STI are been mainly built upon facilitating co-creation among actors from different institutions and the private sector. Existing competences and research capacity in Turkey have been taken into account and collaborative funding mechanisms have been utilized to reach immediate solutions to tackle COVID-19 infection in the fields of drugs, vaccines, diagnostic kits and intensive care devices. 
- In the area of drugs and vaccines, all relevant actors in Turkey have been gathered and a COVID-19 Technology Platform was created. TÜBİTAK mobilized an existing support mechanism, namely “High Technology Platforms (TUBITAK 1004)” to provide required funding for this initiative. TÜBİTAK funded a bundle of research projects, which are being implemented in accordance with the roadmap and strategic milestones of the COVID-19 Technology Platform.  A common sense of strengths and challenges have been developed by the actors who are involved in this network for co-creating high value-added products to tackle the COVID-19 pandemic. The roadmap is composed of 15 different projects including biotechnological and chemical drugs and vaccines for SARS-COV-2 virus. The Genetic Engineering and Biotechnology Institute of TÜBİTAK has been given the role of coordinating this platform. There are 225 researchers coming from 25 different universities, 8 public bodies and 8 private sector organisations. The roadmap including 15 projects was written in only 10 days thanks to existing research competences in Turkey. All of the projects are planned to be finalized in nine months. 
- There is also a coordination between TÜBİTAK and the Directorate of Health Institutes (TÜSEB). TÜSEB is responsible for supporting clinical trial phases of these projects. Toxicity testing and validation studies in animal models will be accomplished immediately and the results will be transferred to TÜSEB for clinical trials.  

Fast Tracked Support for Private Sector: 
- TÜBİTAK has also provided specific funding opportunities to the private sector in Turkey that has been fast-tracked at this challenging time. TÜBİTAK opened a specific call, namely “Struggling with COVID-19”, dedicated to private sector on 26 March 2020. This call focused on topics such as intensive care devices, diagnostic kits, masks, protective clothing, computing applications for tracing the spread of COVID-19, disinfectant, vaccine and drugs. The call ended on 2 April 2020 and 444 applications were received. All relevant projects will immediately start in April.  

Young Researchers as a crucial part of the Struggle with COVID-19:
- TÜBİTAK has opened a specific scholarship call, namely “STAR- Intern Researcher Fellowship Programme” dedicated to young researchers who are willing to take part in COVID-19 projects. The call will stay open between 8-19 April 2020. This support mechanisms is designed in response to the high demand received from undergraduate, graduate and doctorate students and post-doc researchers to contribute to the national struggle with COVID-19.

Coronathon and Support for Entrepreneurs:
- The Ministry of Industry and Technology together with the private sector organized a Coronathon event for entrepreneurs who have potential to provide technology based solutions for COVID-19 pandemic. This event was held on 21-22 March 2020.  More than 150 projects competed and more than 150 mentors took roles to help entrepreneurs. 
- TÜBİTAK is providing complementary support to the awardees of this Coronathon competition in collaboration with some of the selected Technology Transfer Offices. Technology transfer offices (Boğaziçi University TTO, İTÜ Çekirdek and METU TTO) will use a top-up fund provided by TÜBİTAK in order to support entrepreneurs through their accelerator programs. These technology transfer offices also act as implementing bodies evaluating the business plans of young and innovative candidate entrepreneurs in the Techno-Entrepreneurship Support Program of TÜBİTAK. "
United Kingdom|2020-03-31|"In February, UK Research and Innovation (UKRI) and the Department of Health and Social Care (DHSC) funded a £20m a rapid research call through relevant bodies such as the Medical Research Council (MRC), the Biotechnology and Biological Sciences Research Council (BBSRC) and the National Institute for Health Research (NIHR), to complement £20m funding announced by the Health Secretary, which will go to the Coalition for Epidemic Preparedness Innovations.  So far this has led to six new studies into the novel coronavirus, including testing a vaccine, developing therapies and improving understanding of how to treat COVID-19 (see: https://mrc.ukri.org/news/browse/covid-19-vaccine-therapy-research-boosted-by-six-new-projects-in-rapid-response/), while the COVID-19 Genomics UK Consortium will map how COVID-19 spreads and behaves by using whole genome sequencing (see: https://mrc.ukri.org/news/browse/uk-launches-whole-genome-sequence-alliance-to-map-spread-of-coronavirus/). The race to find a vaccine for coronavirus will be boosted by £210m of new UK aid funding, following a virtual summit of G20 leaders for the Coalition for Epidemic Preparedness Innovations for international research on vaccines (https://www.gov.uk/government/news/pm-announces-record-funding-to-find-a-coronavirus-vaccine). 

UKRI is continuing significant discussions across industry, government, and academia to identify new ways to utilise existing research and innovation capabilities to tackle the crisis.

On the 31st March UKRI launched a website to invite the submission of proposals for short term projects addressing and mitigating the health, social, economic and environmental impacts of the COVID-19 outbreak. There is no closing date – proposals can be submitted at any time. UKRI will support excellent proposals of up to 18 months duration which meet at least one of the following:
• New research or innovation with a clear impact pathway that has the potential (within the period of the award) to deliver a significant contribution to the understanding of, and response to, the COVID-19 pandemic and its impacts.
• Supports the manufacture and/or wide scale adoption of an intervention with significant potential.
• Gathers critical data and resources quickly for future research use.
"
